,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,ARENA,ATTENDANCE,ATTENDANCE/G
0,82,242.4,43.6,95.1,0.45799999999999996,0.9,2.9,0.307,42.7,92.2,0.46299999999999997,18.9,25.0,0.758,16.3,33.2,49.5,26.8,6.5,5.4,16.8,23.1,107.0,WAS,1979-80,29.0,39.0,43.0,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,0.263,0.031,0.504,0.46299999999999997,13.7,33.3,0.19899999999999998,69.5,Capital Centre,,9518.0
0,82,241.2,43.3,91.7,0.47200000000000003,0.8,2.9,0.27,42.5,88.7,0.479,18.3,25.3,0.723,14.1,30.9,45.0,26.2,7.8,4.8,17.3,23.1,105.6,WAS,1980-81,28.6,39.0,43.0,41,41,0.01,0.41,0.42,102.7,102.7,0.0,102.4,0.276,0.032,0.514,0.47600000000000003,14.4,30.5,0.19899999999999998,67.8,Capital Centre,377238.0,
0,82,241.8,41.5,87.4,0.474,0.7,2.9,0.25,40.7,84.5,0.48200000000000004,19.8,25.7,0.772,12.8,31.5,44.3,24.2,7.8,4.8,17.0,25.3,103.5,WAS,1981-82,26.0,43.0,39.0,43,39,0.88,0.19,1.06,103.3,102.5,0.8,99.4,0.294,0.033,0.524,0.478,14.7,29.4,0.22699999999999998,69.9,Capital Centre,379891.0,
0,82,241.5,40.3,86.1,0.46799999999999997,0.9,2.9,0.295,39.5,83.2,0.474,17.7,25.1,0.705,13.4,29.6,43.0,25.0,8.9,4.9,19.4,23.9,99.2,WAS,1982-83,25.8,42.0,40.0,41,41,-0.13,0.33,0.2,99.1,99.3,-0.2,99.4,0.292,0.034,0.511,0.473,16.6,30.4,0.20600000000000002,68.6,Capital Centre,368281.0,
0,82,242.7,40.8,84.2,0.484,0.9,3.4,0.252,39.9,80.8,0.494,20.3,26.8,0.7559999999999999,12.5,29.1,41.6,26.7,6.8,3.9,17.7,24.3,102.7,WAS,1983-84,26.2,35.0,47.0,33,49,-2.89,0.53,-2.36,104.2,107.2,-3.0,97.4,0.319,0.040999999999999995,0.535,0.489,15.5,30.1,0.24100000000000002,69.7,Capital Centre,317447.0,7373.0
0,82,242.1,43.1,90.0,0.479,1.3,4.9,0.27399999999999997,41.8,85.2,0.49,18.0,24.3,0.743,12.3,29.2,41.5,25.5,8.6,4.8,15.6,22.8,105.5,WAS,1984-85,27.1,40.0,42.0,40,42,-0.27,0.42,0.15,104.3,104.6,-0.3,100.3,0.26899999999999996,0.054000000000000006,0.524,0.486,13.4,27.5,0.2,68.2,Capital Centre,383098.0,17042.0
0,82,242.1,40.4,87.2,0.46299999999999997,1.4,5.0,0.284,39.0,82.2,0.474,20.8,27.9,0.745,13.0,29.7,42.7,21.3,7.6,8.7,16.4,21.9,103.0,WAS,1985-86,27.1,39.0,43.0,36,46,-1.8,0.53,-1.28,103.0,104.8,-1.8,99.1,0.32,0.057,0.518,0.47100000000000003,14.2,29.1,0.23800000000000002,66.1,Capital Centre,373802.0,8465.0
0,82,240.3,40.9,90.2,0.45399999999999996,0.5,2.7,0.19699999999999998,40.4,87.5,0.461,23.6,30.9,0.765,15.9,28.2,44.1,21.3,9.2,8.4,15.9,21.6,106.0,WAS,1986-87,25.9,42.0,40.0,37,45,-1.37,0.35,-1.02,105.7,107.0,-1.3,100.2,0.342,0.028999999999999998,0.511,0.457,13.3,34.5,0.262,63.4,Capital Centre,485316.0,
0,82,242.4,40.9,87.4,0.46799999999999997,0.4,1.7,0.21,40.6,85.7,0.473,23.3,30.2,0.773,15.0,28.0,43.0,22.9,8.5,6.1,16.9,23.4,105.5,WAS,1987-88,26.6,38.0,44.0,39,43,-0.77,0.61,-0.16,106.5,107.2,-0.7,98.1,0.34600000000000003,0.019,0.524,0.47,14.4,34.2,0.267,65.2,Capital Centre,433376.0,
0,82,242.1,42.9,92.6,0.46399999999999997,0.6,3.0,0.214,42.3,89.6,0.47200000000000003,21.8,28.3,0.772,15.3,28.7,44.0,25.0,8.5,4.0,15.7,25.0,108.3,WAS,1988-89,26.2,40.0,42.0,35,47,-2.16,0.39,-1.77,106.4,108.5,-2.1,100.8,0.305,0.032,0.516,0.467,13.0,33.1,0.23600000000000002,67.5,Capital Centre,253980.0,
0,82,241.8,43.9,92.5,0.475,0.5,2.4,0.188,43.4,90.0,0.48200000000000004,19.5,25.5,0.764,14.6,29.9,44.5,27.0,6.8,5.2,14.6,23.5,107.7,WAS,1989-90,27.5,31.0,51.0,35,47,-2.16,-0.27,-2.43,107.5,109.7,-2.2,99.4,0.276,0.026000000000000002,0.519,0.47700000000000004,12.4,32.4,0.21100000000000002,67.2,Capital Centre,458332.0,
0,82,242.1,41.3,88.6,0.466,0.7,3.5,0.19399999999999998,40.7,85.2,0.478,18.0,24.7,0.7290000000000001,14.3,29.1,43.5,25.4,7.2,5.7,16.6,23.5,101.4,WAS,1990-91,26.5,30.0,52.0,28,54,-4.98,0.14,-4.84,103.0,108.1,-5.1,97.5,0.27899999999999997,0.039,0.509,0.47,14.3,32.2,0.203,66.0,Capital Centre,443683.0,
0,82,242.1,41.0,89.0,0.461,1.8,6.5,0.272,39.2,82.5,0.47600000000000003,18.5,23.9,0.778,13.0,28.6,41.6,24.5,8.7,5.1,15.3,22.6,102.4,WAS,1991-92,26.1,25.0,57.0,29,53,-4.46,0.11,-4.35,103.9,108.4,-4.5,97.7,0.268,0.07400000000000001,0.514,0.47100000000000003,13.3,28.9,0.20800000000000002,66.2,Capital Centre,505988.0,
0,82,241.5,40.3,86.2,0.467,2.1,7.0,0.301,38.1,79.1,0.48200000000000004,19.2,25.7,0.748,12.6,28.3,40.8,25.7,8.2,4.4,16.1,21.9,101.9,WAS,1992-93,26.1,22.0,60.0,23,59,-7.04,0.55,-6.49,103.6,110.8,-7.2,97.7,0.298,0.08199999999999999,0.523,0.48,14.2,28.8,0.223,67.1,Capital Centre,558966.0,
0,82,240.3,39.0,83.2,0.46799999999999997,2.7,9.1,0.297,36.3,74.2,0.489,19.7,26.4,0.748,13.1,26.7,39.8,22.2,8.5,3.9,17.1,20.9,100.4,WAS,1993-94,25.8,24.0,58.0,22,60,-7.38,0.25,-7.13,104.5,112.2,-7.7,95.9,0.317,0.109,0.529,0.484,15.3,31.2,0.237,66.2,US Airways Arena,619756.0,
